"phi","n","CI","target","cov","LB","UB"
0.2,400,"bcCI","mu",0.9315,0.926329922912401,0.936335342242995
0.2,400,"bcaCI","mu",0.9262,0.92085890367605,0.931210584506447
0.2,800,"stdCI","mu",0.943,0.938231695316172,0.947424341847017
0.2,800,"stuCI","mu",0.9457,0.941033053416097,0.950020800605489
0.2,800,"pctCI","mu",0.9405,0.935640396750503,0.945017655521359
0.2,800,"ctrCI","mu",0.9399,0.935018833305983,0.944439701760339
0.2,800,"propCI","mu",0.9405,0.935640396750503,0.945017655521359
0.2,800,"bcCI","mu",0.9415,0.936676631778912,0.945980615135252
0.2,800,"bcaCI","mu",0.9318,0.926639849579956,0.936625176049125
0.2,1600,"stdCI","mu",0.942,0.937194890347625,0.946461953549674
0.2,1600,"stuCI","mu",0.944,0.939268891980048,0.948386337480964
0.2,1600,"pctCI","mu",0.939,0.93408673301928,0.943572525667916
0.2,1600,"ctrCI","mu",0.9412,0.936365722026615,0.945691766588441
0.2,1600,"propCI","mu",0.9387,0.933776097323833,0.943283402421796
0.2,1600,"bcCI","mu",0.9394,0.934500963842999,0.943957973318219
0.2,1600,"bcaCI","mu",0.9314,0.926226620091641,0.936238724893542
0.2,3200,"stdCI","mu",0.9424,0.937609565945778,0.946846955371381
0.2,3200,"stuCI","mu",0.9437,0.938957691273778,0.948097780602061
0.2,3200,"pctCI","mu",0.9407,0.935847613974296,0.945210277296831
0.2,3200,"ctrCI","mu",0.9409,0.936054846018378,0.945402884216908
0.2,3200,"propCI","mu",0.9403,0.935433194277224,0.944825018960558
0.2,3200,"bcCI","mu",0.941,0.936158467619992,0.945499182084118
0.2,3200,"bcaCI","mu",0.9312,0.926020023515992,0.93604548111042
0.4,100,"stdCI","mu",0.8987,0.892581066994112,0.904510145168514
0.4,100,"stuCI","mu",0.9165,0.910865316874356,0.921811864570872
0.4,100,"pctCI","mu",0.8961,0.889915407438524,0.901977847048008
0.4,100,"ctrCI","mu",0.896,0.889812905555146,0.901880427452063
0.4,100,"propCI","mu",0.8969,0.89073548464677,0.902757141594854
0.4,100,"bcCI","mu",0.8955,0.889300421876828,0.901393303701017
0.4,100,"bcaCI","mu",0.889,0.882641924887303,0.895056899405083
0.4,200,"stdCI","mu",0.9113,0.905517118181774,0.91676417212957
0.4,200,"stuCI","mu",0.9217,0.916219763948104,0.926853298416251
0.4,200,"pctCI","mu",0.9105,0.904694840639488,0.915987080992744
0.4,200,"ctrCI","mu",0.9106,0.904797617945094,0.916084224783229
0.4,200,"propCI","mu",0.9109,0.905105962500063,0.916375643497399
0.4,200,"bcCI","mu",0.9102,0.904386521316391,0.915695637008562
0.4,200,"bcaCI","mu",0.9042,0.898223979543533,0.909862906980449
0.4,400,"stdCI","mu",0.9266,0.92127153295453,0.931597637043802
0.4,400,"stuCI","mu",0.9339,0.928810114063689,0.938653233280935
0.4,400,"pctCI","mu",0.9244,0.919002608524568,0.929468310490177
0.4,400,"ctrCI","mu",0.9235,0.918074784034103,0.928596849805768
0.4,400,"propCI","mu",0.9254,0.920033776005976,0.930436348300608
0.4,400,"bcCI","mu",0.9239,0.918487124252779,0.928984191934465
0.4,400,"bcaCI","mu",0.9137,0.907984774229403,0.919094620854171
0.4,800,"stdCI","mu",0.9398,0.934915252174811,0.944343363327333
0.4,800,"stuCI","mu",0.942,0.937194890347625,0.946461953549674
0.4,800,"pctCI","mu",0.9368,0.931809468314844,0.94145155647973
0.4,800,"ctrCI","mu",0.9364,0.931395598817207,0.941065746688475
0.4,800,"propCI","mu",0.9362,0.931188684255478,0.940872821561354
0.4,800,"bcCI","mu",0.9363,0.93129213986023,0.940969285804703
0.4,800,"bcaCI","mu",0.9304,0.925193757204152,0.935272385745771
0.4,1600,"stdCI","mu",0.9351,0.930050891775213,0.939811495235233
0.4,1600,"stuCI","mu",0.9369,0.93191294414381,0.941548000454316
0.4,1600,"pctCI","mu",0.9337,0.928603362669917,0.938460144635266
0.4,1600,"ctrCI","mu",0.9336,0.928499991732264,0.938363595543195
0.4,1600,"propCI","mu",0.9337,0.928603362669917,0.938460144635266
0.4,1600,"bcCI","mu",0.9328,0.927673137581544,0.937591089219285
0.4,1600,"bcaCI","mu",0.9258,0.92044631813466,0.930823488150226
0.4,3200,"stdCI","mu",0.94,0.935122418073303,0.944536036548708
0.4,3200,"stuCI","mu",0.9418,0.936987575518275,0.946269429613309
0.4,3200,"pctCI","mu",0.9386,0.933672559176654,0.943187020905572
0.4,3200,"ctrCI","mu",0.9379,0.932947890507844,0.942512251706878
0.4,3200,"propCI","mu",0.9381,0.933154921213875,0.942705060431186
0.4,3200,"bcCI","mu",0.9371,0.932119905999591,0.941740878183027
0.4,3200,"bcaCI","mu",0.9275,0.922200110454914,0.932468343324294
