"phi","n","blksize","CI","target","cov","LB","UB"
-0.4,400,15,"stdCI","sigma",0.9304,0.925193757204152,0.935272385745771
-0.4,400,15,"stuCI","sigma",0.9412,0.936365722026615,0.945691766588441
-0.4,400,15,"pctCI","sigma",0.9281,0.922819287946867,0.93304868811341
-0.4,400,15,"ctrCI","sigma",0.9286,0.923335347067404,0.933532230744024
-0.4,400,15,"bcCI","sigma",0.9282,0.922922494081779,0.933145402339706
-0.4,400,15,"bcaCI","sigma",0.9282,0.922922494081779,0.933145402339706
-0.4,400,15,"propCI","sigma",0.9294,0.924161190729942,0.934305749593921
-0.4,400,8,"stdCI","sigma",0.9367,0.931705995875154,0.94135510910837
-0.4,400,8,"stuCI","sigma",0.9411,0.936262092953108,0.945595476210937
-0.4,400,8,"pctCI","sigma",0.9325,0.927363118797398,0.937301347718488
-0.4,400,8,"ctrCI","sigma",0.9331,0.927983184371631,0.937880802656161
-0.4,400,8,"bcCI","sigma",0.9329,0.92777648339122,0.937687663491737
-0.4,400,8,"bcaCI","sigma",0.9329,0.92777648339122,0.937687663491737
-0.4,400,8,"propCI","sigma",0.9345,0.929430444875452,0.939232422425633
-0.4,800,10,"stdCI","sigma",0.9381,0.933154921213875,0.942705060431186
-0.4,800,10,"stuCI","sigma",0.9417,0.936883923813686,0.946173161921232
-0.4,800,10,"pctCI","sigma",0.9362,0.931188684255478,0.940872821561354
-0.4,800,10,"ctrCI","sigma",0.9363,0.93129213986023,0.940969285804703
-0.4,800,10,"bcCI","sigma",0.9363,0.93129213986023,0.940969285804703
-0.4,800,10,"bcaCI","sigma",0.9363,0.93129213986023,0.940969285804703
-0.4,800,10,"propCI","sigma",0.9366,0.931602526817273,0.941258658347734
-0.4,800,19,"stdCI","sigma",0.9317,0.926536537650403,0.936528567826964
-0.4,800,19,"stuCI","sigma",0.9392,0.934293841275767,0.943765256664942
-0.4,800,19,"pctCI","sigma",0.9295,0.924264434205505,0.934402426406959
-0.4,800,19,"ctrCI","sigma",0.9295,0.924264434205505,0.934402426406959
-0.4,800,19,"bcCI","sigma",0.9299,0.924677437282333,0.934789104427107
-0.4,800,19,"bcaCI","sigma",0.9304,0.925193757204152,0.935272385745771
-0.4,800,19,"propCI","sigma",0.9299,0.924677437282333,0.934789104427107
0,100,10,"stdCI","sigma",0.9078,0.901920637395624,0.913363413470414
0,100,10,"stuCI","sigma",0.9445,0.939787640266106,0.948867184967359
0,100,10,"pctCI","sigma",0.9006,0.894529807637335,0.906359911063855
0,100,10,"ctrCI","sigma",0.9063,0.900380053045366,0.911905179788944
0,100,10,"bcCI","sigma",0.9051,0.899147906034109,0.910738271914429
0,100,10,"bcaCI","sigma",0.9072,0.901304349704803,0.912780174026704
0,100,10,"propCI","sigma",0.9048,0.898839913158979,0.910446501005835
0,100,5,"stdCI","sigma",0.924,0.918590215847038,0.929081020915243
0,100,5,"stuCI","sigma",0.9414,0.936572991430536,0.945884336059618
0,100,5,"pctCI","sigma",0.9174,0.911791586036381,0.922684883266368
0,100,5,"ctrCI","sigma",0.922,0.916528876555968,0.927143947822564
0,100,5,"bcCI","sigma",0.922,0.916528876555968,0.927143947822564
0,100,5,"bcaCI","sigma",0.9231,0.917662485443772,0.928209465973896
0,100,5,"propCI","sigma",0.922,0.916528876555968,0.927143947822564
0,1600,12,"stdCI","sigma",0.9494,0.94487696514991,0.953573884006249
0,1600,12,"stuCI","sigma",0.9523,0.947894167342429,0.956354314336261
0,1600,12,"pctCI","sigma",0.9479,0.943317893376994,0.952134175942345
0,1600,12,"ctrCI","sigma",0.9485,0.943941399728795,0.95271018186283
0,1600,12,"bcCI","sigma",0.9488,0.94425321374584,0.952998123814779
0,1600,12,"bcaCI","sigma",0.9499,0.945396885284869,0.954053556510763
0,1600,12,"propCI","sigma",0.9475,0.942902311551768,0.951750082676823
0,1600,24,"stdCI","sigma",0.9425,0.937713244470407,0.94694319617824
0,1600,24,"stuCI","sigma",0.9449,0.940202712028365,0.949251789637236
0,1600,24,"pctCI","sigma",0.9398,0.934915252174811,0.944343363327333
0,1600,24,"ctrCI","sigma",0.9407,0.935847613974296,0.945210277296831
0,1600,24,"bcCI","sigma",0.9389,0.933983184237045,0.943476154811103
0,1600,24,"bcaCI","sigma",0.9378,0.932844380368836,0.942415842118954
0,1600,24,"propCI","sigma",0.9401,0.93522600648526,0.944632367683914
0,200,12,"stdCI","sigma",0.9278,0.92250968652242,0.932758528421601
0,200,12,"stuCI","sigma",0.9487,0.944149271200351,0.952902147716477
0,200,12,"pctCI","sigma",0.9232,0.917765556205001,0.928306315825181
0,200,12,"ctrCI","sigma",0.9261,0.920755753203096,0.931113814512622
0,200,12,"bcCI","sigma",0.9267,0.9213746971465,0.931694393292885
0,200,12,"bcaCI","sigma",0.9269,0.921581033813457,0.931887897492422
0,200,12,"propCI","sigma",0.9254,0.920033776005976,0.930436348300608
0,200,6,"stdCI","sigma",0.9337,0.928603362669917,0.938460144635266
0,200,6,"stuCI","sigma",0.9417,0.936883923813686,0.946173161921232
0,200,6,"pctCI","sigma",0.9287,0.923438567452795,0.933628930692301
0,200,6,"ctrCI","sigma",0.9333,0.92818989787668,0.93807392926989
0,200,6,"bcCI","sigma",0.9333,0.92818989787668,0.93807392926989
0,200,6,"bcaCI","sigma",0.9332,0.928086539555322,0.937977367535128
0,200,6,"propCI","sigma",0.9311,0.925916729748925,0.935948854688973
0,3200,15,"stdCI","sigma",0.9475,0.942902311551768,0.951750082676823
0,3200,15,"stuCI","sigma",0.9488,0.94425321374584,0.952998123814779
0,3200,15,"pctCI","sigma",0.9447,0.939995167973107,0.949059495497289
0,3200,15,"ctrCI","sigma",0.9463,0.941655985288156,0.95059738254341
0,3200,15,"bcCI","sigma",0.9427,0.937920613135651,0.947135666147515
0,3200,15,"bcaCI","sigma",0.9431,0.938335397196727,0.947520559240502
0,3200,15,"propCI","sigma",0.9444,0.939683882517269,0.9487710235822
0,3200,30,"stdCI","sigma",0.9455,0.940825443123844,0.949828572873242
0,3200,30,"stuCI","sigma",0.9481,0.943525710915456,0.952326195876953
0,3200,30,"pctCI","sigma",0.9447,0.939995167973107,0.949059495497289
0,3200,30,"ctrCI","sigma",0.943,0.938231695316172,0.947424341847017
0,3200,30,"bcCI","sigma",0.9454,0.94072164424087,0.94973245272772
0,3200,30,"bcaCI","sigma",0.9455,0.940825443123844,0.949828572873242
0,3200,30,"propCI","sigma",0.9446,0.939891402081272,0.94896334227585
0,400,15,"stdCI","sigma",0.937,0.93201642336955,0.9416444410246
0,400,15,"stuCI","sigma",0.9501,0.945604886138187,0.95424539262046
0,400,15,"pctCI","sigma",0.9349,0.929844063151603,0.939618483983526
0,400,15,"ctrCI","sigma",0.9368,0.931809468314844,0.94145155647973
0,400,15,"bcCI","sigma",0.9359,0.93087833748146,0.940583408747233
0,400,15,"bcaCI","sigma",0.9344,0.929327048385084,0.939135898940267
0,400,15,"propCI","sigma",0.9364,0.931395598817207,0.941065746688475
0,400,8,"stdCI","sigma",0.9406,0.935744003514238,0.945113968261627
0,400,8,"stuCI","sigma",0.9465,0.941863663204975,0.950789542474059
0,400,8,"pctCI","sigma",0.9364,0.931395598817207,0.941065746688475
0,400,8,"ctrCI","sigma",0.9386,0.933672559176654,0.943187020905572
0,400,8,"bcCI","sigma",0.9378,0.932844380368836,0.942415842118954
0,400,8,"bcaCI","sigma",0.9391,0.934190285362793,0.943668892955268
0,400,8,"propCI","sigma",0.9383,0.933361965876285,0.942897855167544
0,800,10,"stdCI","sigma",0.9407,0.935847613974296,0.945210277296831
0,800,10,"stuCI","sigma",0.9441,0.939372633566038,0.948482515069869
0,800,10,"pctCI","sigma",0.9378,0.932844380368836,0.942415842118954
0,800,10,"ctrCI","sigma",0.9388,0.933879639007935,0.943379780393013
0,800,10,"bcCI","sigma",0.9385,0.933569024558344,0.943090635852426
0,800,10,"bcaCI","sigma",0.9386,0.933672559176654,0.943187020905572
0,800,10,"propCI","sigma",0.9379,0.932947890507844,0.942512251706878
0,800,19,"stdCI","sigma",0.9388,0.933879639007935,0.943379780393013
0,800,19,"stuCI","sigma",0.9458,0.941136864847053,0.950116908170437
0,800,19,"pctCI","sigma",0.9382,0.93325844179659,0.942801459551817
0,800,19,"ctrCI","sigma",0.9379,0.932947890507844,0.942512251706878
0,800,19,"bcCI","sigma",0.9383,0.933361965876285,0.942897855167544
0,800,19,"bcaCI","sigma",0.9391,0.934190285362793,0.943668892955268
0,800,19,"propCI","sigma",0.938,0.933051404120247,0.942608657813575
0.2,100,10,"stdCI","sigma",0.8993,0.893196388594231,0.905094352042042
0.2,100,10,"stuCI","sigma",0.9373,0.932326881502833,0.941933742233932
0.2,100,10,"pctCI","sigma",0.889,0.882641924887303,0.895056899405083
0.2,100,10,"ctrCI","sigma",0.9007,0.894632391041721,0.9064572490321
0.2,100,10,"bcCI","sigma",0.8964,0.890222923423466,0.902270095487838
0.2,100,10,"bcaCI","sigma",0.896,0.889812905555146,0.901880427452063
0.2,100,10,"propCI","sigma",0.8964,0.890222923423466,0.902270095487838
0.2,100,5,"stdCI","sigma",0.9184,0.912820996671071,0.923654680994267
0.2,100,5,"stuCI","sigma",0.9318,0.926639849579956,0.936625176049125
0.2,100,5,"pctCI","sigma",0.908,0.902126082743139,0.913557810477567
0.2,100,5,"ctrCI","sigma",0.9178,0.91220332196098,0.923072830733893
0.2,100,5,"bcCI","sigma",0.9156,0.909939234689182,0.920938658593357
0.2,100,5,"bcaCI","sigma",0.9167,0.911071138210728,0.922005885007275
0.2,100,5,"propCI","sigma",0.9142,0.908499027693986,0.919579972303166
0.2,1600,12,"stdCI","sigma",0.9484,0.943837470777787,0.952614192132546
0.2,1600,12,"stuCI","sigma",0.9509,0.946437079656677,0.955012546410588
0.2,1600,12,"pctCI","sigma",0.9472,0.942590671402201,0.951461966383575
0.2,1600,12,"ctrCI","sigma",0.9454,0.94072164424087,0.94973245272772
0.2,1600,12,"bcCI","sigma",0.9454,0.94072164424087,0.94973245272772
0.2,1600,12,"bcaCI","sigma",0.9449,0.940202712028365,0.949251789637236
0.2,1600,12,"propCI","sigma",0.9471,0.942486800093137,0.951365918854903
0.2,1600,24,"stdCI","sigma",0.9419,0.937091231026524,0.946365693492534
0.2,1600,24,"stuCI","sigma",0.9466,0.94196750858109,0.950885616004723
