"phi","n","CI","target","cov","LB","UB"
0,200,"propCI","phi",0.9349,0.929844063151603,0.939618483983526
0,3200,"stdCI","phi",0.9479,0.943317893376994,0.952134175942345
0,3200,"stuCI","phi",0.9487,0.944149271200351,0.952902147716477
0,3200,"pctCI","phi",0.9598,0.955717941144291,0.963524353514701
0,3200,"ctrCI","phi",0.9295,0.924264434205505,0.934402426406959
0,3200,"bcCI","phi",0.9322,0.92705312784652,0.937011578327075
0,3200,"bcaCI","phi",0.9324,0.927259785396326,0.937204761011804
0,3200,"propCI","phi",0.9469,0.942279070516263,0.951173810721432
0,400,"stdCI","phi",0.9384,0.933465493460884,0.942994247270409
0,400,"stuCI","phi",0.9458,0.941136864847053,0.950116908170437
0,400,"pctCI","phi",0.9683,0.964629671791632,0.971605446647188
0,400,"ctrCI","phi",0.8995,0.893401510120686,0.905289073321222
0,400,"bcCI","phi",0.9053,0.899353244322083,0.910932776135218
0,400,"bcaCI","phi",0.9034,0.897402842000198,0.909084674186008
0,400,"propCI","phi",0.9381,0.933154921213875,0.942705060431186
0,800,"stdCI","phi",0.944,0.939268891980048,0.948386337480964
0,800,"stuCI","phi",0.9477,0.943110093621107,0.951942138176808
0,800,"pctCI","phi",0.9648,0.960953436465651,0.968284664135315
0,800,"ctrCI","phi",0.9148,0.909116205303321,0.920162320473761
0,800,"bcCI","phi",0.9165,0.910865316874356,0.921811864570872
0,800,"bcaCI","phi",0.9157,0.910042123561099,0.921035690643226
0,800,"propCI","phi",0.9428,0.93802430329525,0.947231895290866
0.2,100,"stdCI","phi",0.9266,0.92127153295453,0.931597637043802
0.2,100,"stuCI","phi",0.9437,0.938957691273778,0.948097780602061
0.2,100,"pctCI","phi",0.9207,0.915189551731171,0.925884303634333
0.2,100,"ctrCI","phi",0.8312,0.823680742683264,0.838463165050547
0.2,100,"bcCI","phi",0.8419,0.834567350667271,0.848968235860113
0.2,100,"bcaCI","phi",0.8394,0.832022751448454,0.846514780029591
0.2,100,"propCI","phi",0.9273,0.921993740425589,0.932274872550345
0.2,1600,"stdCI","phi",0.9467,0.942071358250751,0.950981685230467
0.2,1600,"stuCI","phi",0.9494,0.94487696514991,0.953573884006249
0.2,1600,"pctCI","phi",0.8962,0.890017911042905,0.902075264920753
0.2,1600,"ctrCI","phi",0.8612,0.854233843222065,0.867886710344225
0.2,1600,"bcCI","phi",0.8607,0.853723822901144,0.867397120571144
0.2,1600,"bcaCI","phi",0.8592,0.852193938160662,0.865928174871089
0.2,1600,"propCI","phi",0.946,0.94134450033319,0.950309110643172
0.2,200,"stdCI","phi",0.9373,0.932326881502833,0.941933742233932
0.2,200,"stuCI","phi",0.9462,0.941552152724964,0.950501296166016
0.2,200,"pctCI","phi",0.921,0.915498589195063,0.926175028315643
0.2,200,"ctrCI","phi",0.8455,0.838232683059307,0.85250010188174
0.2,200,"bcCI","phi",0.8523,0.845159785313846,0.859167704782358
0.2,200,"bcaCI","phi",0.8498,0.842612482637126,0.856716954562653
0.2,200,"propCI","phi",0.9371,0.932119905999591,0.941740878183027
0.2,3200,"stdCI","phi",0.9478,0.943213991282251,0.952038159282391
0.2,3200,"stuCI","phi",0.9487,0.944149271200351,0.952902147716477
0.2,3200,"pctCI","phi",0.8749,0.868220402329641,0.881289456481887
0.2,3200,"ctrCI","phi",0.8564,0.849338850555572,0.863185445035257
0.2,3200,"bcCI","phi",0.8555,0.848421333746816,0.862303663214879
0.2,3200,"bcaCI","phi",0.8546,0.8475039081082,0.861421790145731
0.2,3200,"propCI","phi",0.9465,0.941863663204975,0.950789542474059
0.2,400,"stdCI","phi",0.9407,0.935847613974296,0.945210277296831
0.2,400,"stuCI","phi",0.947,0.94238293313502,0.951269866963641
0.2,400,"pctCI","phi",0.913,0.907264911983642,0.918415036075354
0.2,400,"ctrCI","phi",0.8664,0.859539834229396,0.872976662678875
0.2,400,"bcCI","phi",0.8727,0.865972763810653,0.879138813994164
0.2,400,"bcaCI","phi",0.8701,0.863317286952434,0.876596321562598
0.2,400,"propCI","phi",0.9395,0.934604530513794,0.944054326245218
0.2,800,"stdCI","phi",0.9489,0.944357160847865,0.953094095343924
0.2,800,"stuCI","phi",0.9526,0.948206527501679,0.956641708574502
0.2,800,"pctCI","phi",0.9151,0.909424824379685,0.920453464239114
0.2,800,"ctrCI","phi",0.8768,0.870162070296335,0.883146303390614
0.2,800,"bcCI","phi",0.8772,0.870570905540504,0.883537155423007
0.2,800,"bcaCI","phi",0.8759,0.869242271445603,0.88226680578506
0.2,800,"propCI","phi",0.9484,0.943837470777787,0.952614192132546
0.4,100,"stdCI","phi",0.9319,0.926743164558122,0.936721781216461
0.4,100,"stuCI","phi",0.9482,0.94362962638341,0.952422199127256
0.4,100,"pctCI","phi",0.7764,0.768077783944146,0.784508642423213
0.4,100,"ctrCI","phi",0.7675,0.759068234011028,0.775725086529724
0.4,100,"bcCI","phi",0.7571,0.748546725556239,0.765454648180044
0.4,100,"bcaCI","phi",0.7564,0.747838791609718,0.764763124063775
0.4,100,"propCI","phi",0.9294,0.924161190729942,0.934305749593921
0.4,1600,"stdCI","phi",0.9503,0.945812905893612,0.954437209774249
0.4,1600,"stuCI","phi",0.9527,0.948310657700524,0.956737496477709
0.4,1600,"pctCI","phi",0.6652,0.655838326496916,0.674434114749743
0.4,1600,"ctrCI","phi",0.6666,0.657247431022834,0.675823928495464
0.4,1600,"bcCI","phi",0.6242,0.614611108919858,0.633693003572655
0.4,1600,"bcaCI","phi",0.6234,0.613807413130741,0.632897317205167
0.4,1600,"propCI","phi",0.9476,0.943006200381585,0.951846112637627
0.4,200,"stdCI","phi",0.9431,0.938335397196727,0.947520559240502
0.4,200,"stuCI","phi",0.952,0.947581852522461,0.956066874623383
0.4,200,"pctCI","phi",0.7566,0.748041055353242,0.764960705482345
0.4,200,"ctrCI","phi",0.7481,0.739447005350841,0.756561335210691
0.4,200,"bcCI","phi",0.735,0.726210476410072,0.743608001376843
0.4,200,"bcaCI","phi",0.7325,0.72368554648756,0.741134865467267
0.4,200,"propCI","phi",0.9399,0.935018833305983,0.944439701760339
0.4,3200,"stdCI","phi",0.9505,0.946020944659017,0.954629007863716
0.4,3200,"stuCI","phi",0.9524,0.947998282337788,0.956450117488542
0.4,3200,"pctCI","phi",0.5951,0.585394161548776,0.604732422465808
0.4,3200,"ctrCI","phi",0.6084,0.598743181314977,0.61797313282037
