"phi","n","blksize","CI","target","cov","LB","UB"
0,800,10,"ctrCI","mu",0.9475,0.942902311551768,0.951750082676823
0,800,10,"bcCI","mu",0.946,0.94134450033319,0.950309110643172
0,800,10,"bcaCI","mu",0.9464,0.941759822111087,0.950693464649848
0,800,10,"propCI","mu",0.9481,0.943525710915456,0.952326195876953
0,800,19,"stdCI","mu",0.9409,0.936054846018378,0.945402884216908
0,800,19,"stuCI","mu",0.9488,0.94425321374584,0.952998123814779
0,800,19,"pctCI","mu",0.9395,0.934604530513794,0.944054326245218
0,800,19,"ctrCI","mu",0.9395,0.934604530513794,0.944054326245218
0,800,19,"bcCI","mu",0.9399,0.935018833305983,0.944439701760339
0,800,19,"bcaCI","mu",0.9402,0.93532959855038,0.944728695157395
0,800,19,"propCI","mu",0.9404,0.935536793674388,0.944921339084768
0.2,100,10,"stdCI","mu",0.9113,0.905517118181774,0.91676417212957
0.2,100,10,"stuCI","mu",0.9475,0.942902311551768,0.951750082676823
0.2,100,10,"pctCI","mu",0.909,0.903153431426061,0.91452967338879
0.2,100,10,"ctrCI","mu",0.9082,0.902331536188544,0.913752199374969
0.2,100,10,"bcCI","mu",0.907,0.901098936513854,0.912585744816173
0.2,100,10,"bcaCI","mu",0.9058,0.899866624168578,0.91141900251219
0.2,100,10,"propCI","mu",0.909,0.903153431426061,0.91452967338879
0.2,100,5,"stdCI","mu",0.9146,0.908910470487926,0.91996821337674
0.2,100,5,"stuCI","mu",0.9327,0.927569794883624,0.937494511828635
0.2,100,5,"pctCI","mu",0.9125,0.906750790227778,0.917929552711348
0.2,100,5,"ctrCI","mu",0.9133,0.907573411207596,0.918706299882552
0.2,100,5,"bcCI","mu",0.9119,0.906133915570769,0.917346901113866
0.2,100,5,"bcaCI","mu",0.9117,0.90592830789087,0.917152666682437
0.2,100,5,"propCI","mu",0.912,0.906236722628533,0.917444015106821
0.2,1600,12,"stdCI","mu",0.9404,0.935536793674388,0.944921339084768
0.2,1600,12,"stuCI","mu",0.943,0.938231695316172,0.947424341847017
0.2,1600,12,"pctCI","mu",0.9399,0.935018833305983,0.944439701760339
0.2,1600,12,"ctrCI","mu",0.9394,0.934500963842999,0.943957973318219
0.2,1600,12,"bcCI","mu",0.9396,0.93470810078712,0.944150675561334
0.2,1600,12,"bcaCI","mu",0.9395,0.934604530513794,0.944054326245218
0.2,1600,12,"propCI","mu",0.9395,0.934604530513794,0.944054326245218
0.2,1600,24,"stdCI","mu",0.9411,0.936262092953108,0.945595476210937
0.2,1600,24,"stuCI","mu",0.9457,0.941033053416097,0.950020800605489
0.2,1600,24,"pctCI","mu",0.9409,0.936054846018378,0.945402884216908
0.2,1600,24,"ctrCI","mu",0.9407,0.935847613974296,0.945210277296831
