"phi","n","CI","target","cov","LB","UB"
0.4,1600,"ctrCI","phi",0.9476,0.943006200381585,0.951846112637627
0.4,1600,"bcaCI","phi",0.6271,0.617524737640083,0.636577135133131
0.4,1600,"stdCI","phi",0.9503,0.945812905893612,0.954437209774249
0.4,1600,"stuCI","phi",0.9527,0.948310657700524,0.956737496477709
0.4,200,"pctCI","phi",0.7566,0.748041055353242,0.764960705482345
0.4,200,"ctrCI","phi",0.9399,0.935018833305983,0.944439701760339
0.4,200,"bcaCI","phi",0.7298,0.720959018301105,0.738463482414158
0.4,200,"stdCI","phi",0.9431,0.938335397196727,0.947520559240502
0.4,200,"stuCI","phi",0.9518,0.947373667632259,0.95587522308419
0.4,3200,"pctCI","phi",0.5951,0.585394161548776,0.604732422465808
0.4,3200,"ctrCI","phi",0.9493,0.944772995074659,0.953477935514363
0.4,3200,"bcaCI","phi",0.5498,0.539981560839026,0.559579996848678
0.4,3200,"stdCI","phi",0.9505,0.946020944659017,0.954629007863716
0.4,3200,"stuCI","phi",0.9523,0.947894167342429,0.956354314336261
0.4,400,"pctCI","phi",0.7607,0.752188011102382,0.769010575324667
0.4,400,"ctrCI","phi",0.9386,0.933672559176654,0.943187020905572
0.4,400,"bcaCI","phi",0.7374,0.728634743963604,0.745981876900981
0.4,400,"stdCI","phi",0.9411,0.936262092953108,0.945595476210937
0.4,400,"stuCI","phi",0.9467,0.942071358250751,0.950981685230467
0.4,800,"pctCI","phi",0.7419,0.733181139872288,0.750431998932565
0.4,800,"ctrCI","phi",0.9489,0.944357160847865,0.953094095343924
0.4,800,"bcaCI","phi",0.7075,0.698455162836608,0.716384584384961
0.4,800,"stdCI","phi",0.9516,0.947165502596561,0.955683551631871
0.4,800,"stuCI","phi",0.9552,0.950915610781705,0.959130490738233
