"phi","n","blksize","CI","target","cov","LB","UB","CP_LB","CP_UB"
-0.2,800,19,"pctCI","rho",0.9513,0.946853292016019,0.955396007371772,0.946898051247568,0.95543666521815
-0.2,800,19,"ctrCI","rho",0.9009,0.894837563336033,0.90665191947568,0.89487641620504,0.90668893496014
-0.2,800,19,"bcCI","rho",0.9061,0.900174675588625,0.911710714792719,0.900214099062977,0.911748144273455
-0.2,800,19,"bcaCI","rho",0.9044,0.898429283050291,0.910057446031441,0.898468519385969,0.910094740754167
-0.2,800,19,"propCI","rho",0.9411,0.936262092953108,0.945595476210937,0.936305559085615,0.945635493072328
-0.4,100,10,"stdCI","rho",0.9405,0.935640396750503,0.945017655521359,0.935683789162712,0.945057632375059
-0.4,100,10,"stuCI","rho",0.9675,0.963788471817632,0.970847332271916,0.963835533367881,0.97088876448782
-0.4,100,10,"pctCI","rho",0.9562,0.951958541199485,0.960086736263206,0.952003955757946,0.960127668540397
-0.4,100,10,"ctrCI","rho",0.8546,0.8475039081082,0.861421790145731,0.847537852906884,0.861454949001773
-0.4,100,10,"bcCI","rho",0.8721,0.865359883043963,0.878552163464399,0.865395653901302,0.87858680873404
-0.4,100,10,"bcaCI","rho",0.8698,0.86301094219727,0.876302900574676,0.863046471401937,0.876337352126577
-0.4,100,10,"propCI","rho",0.9462,0.941552152724964,0.950501296166016,0.94159625520795,0.950541643534634
-0.4,100,5,"stdCI","rho",0.9653,0.96147799547861,0.968759681739595,0.961524716820762,0.968801035754142
-0.4,100,5,"stuCI","rho",0.9757,0.972441456324647,0.978587167087725,0.972489920027741,0.97862875982996
-0.4,100,5,"pctCI","rho",0.9546,0.95029011805629,0.958556477048432,0.950335315624043,0.958597322663368
-0.4,100,5,"ctrCI","rho",0.7827,0.77445855802946,0.790722986659754,0.774485210007234,0.790749830679645
-0.4,100,5,"bcCI","rho",0.7959,0.78783688851878,0.803734423284257,0.787864860958837,0.803762444907033
-0.4,100,5,"bcaCI","rho",0.791,0.782869217865284,0.798905893280605,0.782896699367609,0.798933478523876
-0.4,100,5,"propCI","rho",0.9696,0.965997866679175,0.972836131850156,0.96604526485426,0.97287762710241
-0.4,1600,12,"stdCI","rho",0.9606,0.956554459437213,0.964287168548394,0.956600488535236,0.964328321690743
-0.4,1600,12,"stuCI","rho",0.9624,0.958438193584734,0.966001928611357,0.958484482849571,0.96604316352519
-0.4,1600,12,"pctCI","rho",0.7529,0.744299575009382,0.761305050162228,0.744323267641633,0.76132921409357
-0.4,1600,12,"ctrCI","rho",0.6984,0.689279510568836,0.707367272125748,0.689297852378167,0.707386473478843
-0.4,1600,12,"bcCI","rho",0.681,0.671746447422254,0.690113784499825,0.67176309442992,0.690131387995182
-0.4,1600,12,"bcaCI","rho",0.6801,0.670839968756341,0.689220958710398,0.670856528258495,0.689238479401886
-0.4,1600,12,"propCI","rho",0.9598,0.955717941144291,0.963524353514701,0.955763856363999,0.963565468599582
-0.4,1600,24,"stdCI","rho",0.9485,0.943941399728795,0.95271018186283,0.943985795579998,0.952750672011387
-0.4,1600,24,"stuCI","rho",0.9526,0.948206527501679,0.956641708574502,0.948251458021243,0.956682441753445
-0.4,1600,24,"pctCI","rho",0.91,0.904180985564217,0.915501330540131,0.904220840705651,0.915539066853676
-0.4,1600,24,"ctrCI","rho",0.8657,0.858825374141258,0.872291669034752,0.858860473891579,0.872325773959649
-0.4,1600,24,"bcCI","rho",0.8684,0.86158148552594,0.874933450296405,0.861616867901718,0.874967783671884
-0.4,1600,24,"bcaCI","rho",0.8673,0.860458515259486,0.873857279219546,0.860493782406172,0.873891519607074
-0.4,1600,24,"propCI","rho",0.9474,0.942798427119793,0.951654048306314,0.942842682122204,0.95169447070118
-0.4,200,12,"stdCI","rho",0.9469,0.942279070516263,0.951173810721432,0.942323261828591,0.951214201993139
-0.4,200,12,"stuCI","rho",0.9619,0.957914710641686,0.965525830667652,0.957960927066408,0.965567043426636
-0.4,200,12,"pctCI","rho",0.9479,0.943317893376994,0.952134175942345,0.943362212275144,0.952174629258465
-0.4,200,12,"ctrCI","rho",0.8589,0.851887992715415,0.865634354200079,0.851922383665465,0.865667880801139
-0.4,200,12,"bcCI","rho",0.868,0.861173115061509,0.874542133016607,0.861208455522043,0.874576432591899
-0.4,200,12,"bcaCI","rho",0.8652,0.858315082547376,0.871802350784915,0.858350130036393,0.871836413328191
-0.4,200,12,"propCI","rho",0.9486,0.944045333198836,0.952806167061641,0.944089741905599,0.952846663319439
-0.4,200,6,"stdCI","rho",0.9644,0.96053392949661,0.96790450923459,0.960580514893345,0.967945828098937
-0.4,200,6,"stuCI","rho",0.9717,0.968211506696995,0.97482066595915,0.968259255189201,0.974862210875892
-0.4,200,6,"pctCI","rho",0.9167,0.911071138210728,0.922005885007275,0.911111743419583,0.922044140073745
-0.4,200,6,"ctrCI","rho",0.7625,0.754008959402634,0.770788233239088,0.754033602388306,0.770813263529655
-0.4,200,6,"bcCI","rho",0.7656,0.757145520368401,0.77384927165452,0.75717047081969,0.773874581129602
-0.4,200,6,"bcaCI","rho",0.762,0.753503119855568,0.770294459957644,0.753527713277166,0.770319445191453
-0.4,200,6,"propCI","rho",0.9653,0.96147799547861,0.968759681739595,0.961524716820762,0.968801035754142
-0.4,3200,15,"stdCI","rho",0.9575,0.95331520403999,0.961328999354203,0.953360797298385,0.961369999697183
-0.4,3200,15,"stuCI","rho",0.9583,0.954150569571072,0.962092971192236,0.954196273941443,0.96213401230213
-0.4,3200,15,"pctCI","rho",0.6826,0.673358061816801,0.691700933557217,0.673374864426955,0.691718684222455
-0.4,3200,15,"ctrCI","rho",0.6308,0.62124265494295,0.640256360170938,0.621254442531986,0.64026932367562
-0.4,3200,15,"bcCI","rho",0.6019,0.592218301744916,0.611503031621899,0.592227309878903,0.611513305846745
-0.4,3200,15,"bcaCI","rho",0.6021,0.592419040893247,0.611702138039121,0.592428068220225,0.611712430916803
-0.4,3200,15,"propCI","rho",0.9552,0.950915610781705,0.959130490738233,0.950960889355571,0.9591713692097
-0.4,3200,30,"stdCI","rho",0.9508,0.946333038689473,0.954916669012483,0.946377732492194,0.95495729744219
-0.4,3200,30,"stuCI","rho",0.9538,0.949456429792539,0.95779082247675,0.949501520005651,0.957831623642263
-0.4,3200,30,"pctCI","rho",0.8843,0.877831503829345,0.890471002242157,0.877868566401437,0.890506665260336
-0.4,3200,30,"ctrCI","rho",0.852,0.84485407312629,0.858873650652212,0.844887748881487,0.858906586435287
-0.4,3200,30,"bcCI","rho",0.8509,0.843733212381552,0.857795368161919,0.843766774468244,0.857828209411877
-0.4,3200,30,"bcaCI","rho",0.8507,0.843529433628251,0.857599302678936,0.843562975057821,0.857632126731268
-0.4,3200,30,"propCI","rho",0.9491,0.944565068772065,0.953286024643954,0.94460954188783,0.95332655131918
-0.4,400,15,"stdCI","rho",0.9539,0.949560622202187,0.95788654797943,0.949605725794709,0.957927354740261
-0.4,400,15,"stuCI","rho",0.9621,0.958124082803489,0.965716290940465,0.958170328309815,0.965757512614671
-0.4,400,15,"pctCI","rho",0.9437,0.938957691273778,0.948097780602061,0.939001479547274,0.948137968190262
-0.4,400,15,"ctrCI","rho",0.8673,0.860458515259486,0.873857279219546,0.860493782406172,0.873891519607074
-0.4,400,15,"bcCI","rho",0.8732,0.866483534095397,0.879627653086609,0.866519420721643,0.879662390810046
-0.4,400,15,"bcaCI","rho",0.8705,0.863725764653057,0.876987531501716,0.863761367346425,0.877022042068348
-0.4,400,15,"propCI","rho",0.9534,0.949039712709705,0.957407867748376,0.949084749516864,0.95744864642309
-0.4,400,8,"stdCI","rho",0.9606,0.956554459437213,0.964287168548394,0.956600488535236,0.964328321690743
-0.4,400,8,"stuCI","rho",0.9655,0.961687874450183,0.968949633185044,0.9617346262452,0.968990994773329
-0.4,400,8,"pctCI","rho",0.8873,0.880901592952663,0.893398563500885,0.88093897599969,0.893434473976784
-0.4,400,8,"ctrCI","rho",0.7702,0.761800915040513,0.778390314264779,0.761826322276912,0.778416037471093
-0.4,400,8,"bcCI","rho",0.7762,0.767875264106899,0.784311317212861,0.767901268166181,0.784337579058572
-0.4,400,8,"bcaCI","rho",0.7731,0.76473655084648,0.781252432072423,0.76476224640072,0.781278415766762
-0.4,400,8,"propCI","rho",0.9625,0.958542911295604,0.966097126997222,0.958589215183373,0.966138366288284
-0.4,800,10,"stdCI","rho",0.9628,0.958857107159096,0.96638267925948,0.958903455027625,0.966423931572672
-0.4,800,10,"stuCI","rho",0.9658,0.96200275305554,0.96923449995299,0.962049550700849,0.969275872734683
-0.4,800,10,"pctCI","rho",0.8378,0.830394532934484,0.844944243065997,0.830426747995809,0.844975951910433
-0.4,800,10,"ctrCI","rho",0.7513,0.742681896961991,0.759723966735159,0.742705431457144,0.759747986019588
-0.4,800,10,"bcCI","rho",0.7463,0.737627648601023,0.754782085089865,0.737650689369717,0.754805651903182
-0.4,800,10,"bcaCI","rho",0.7452,0.73651591433579,0.753694670674862,0.736538846574935,0.753718137854745
-0.4,800,10,"propCI","rho",0.9618,0.957810034989272,0.96543059006332,0.957856236900066,0.96547179833839
-0.4,800,19,"stdCI","rho",0.9494,0.94487696514991,0.953573884006249,0.944921477017528,0.953614428827452
-0.4,800,19,"stuCI","rho",0.9551,0.950811348325954,0.959034835501468,0.95085661336895,0.95907570852611
-0.4,800,19,"pctCI","rho",0.9231,0.917662485443772,0.928209465973896,0.917703818814634,0.928248205051379
-0.4,800,19,"ctrCI","rho",0.8644,0.857498679799602,0.871019377722877,0.857533643719346,0.871053372407244
-0.4,800,19,"bcCI","rho",0.871,0.864236390865114,0.877476514810657,0.864272046081163,0.877511067500238
-0.4,800,19,"bcaCI","rho",0.8688,0.861989876247999,0.875324747298991,0.862025300554874,0.875359114458968
-0.4,800,19,"propCI","rho",0.9492,0.944669029619667,0.953381982389288,0.944713515643762,0.953422515121961
0,100,10,"stdCI","rho",0.8957,0.889505410209157,0.901588158346964,0.889543697529932,0.901624754842249
0,100,10,"stuCI","rho",0.9357,0.930671456259703,0.940390450207315,0.930714266441819,0.940430099594633
