"phi","n","blksize","CI","target","cov","LB","UB"
-0.2,400,8,"bcCI","mu",0.9417,0.936883923813686,0.946173161921232
-0.2,400,8,"bcaCI","mu",0.9425,0.937713244470407,0.94694319617824
-0.2,400,8,"propCI","mu",0.9422,0.937402220465351,0.94665446216058
-0.2,800,10,"stdCI","mu",0.9498,0.945292891913079,0.953957631381034
-0.2,800,10,"stuCI","mu",0.9533,0.94893554649763,0.957312115967603
-0.2,800,10,"pctCI","mu",0.948,0.943421799917366,0.952230188144581
-0.2,800,10,"ctrCI","mu",0.9475,0.942902311551768,0.951750082676823
-0.2,800,10,"bcCI","mu",0.9477,0.943110093621107,0.951942138176808
-0.2,800,10,"bcaCI","mu",0.9485,0.943941399728795,0.95271018186283
-0.2,800,10,"propCI","mu",0.9482,0.94362962638341,0.952422199127256
-0.2,800,19,"stdCI","mu",0.9425,0.937713244470407,0.94694319617824
-0.2,800,19,"stuCI","mu",0.9491,0.944565068772065,0.953286024643954
-0.2,800,19,"pctCI","mu",0.9402,0.93532959855038,0.944728695157395
-0.2,800,19,"ctrCI","mu",0.9398,0.934915252174811,0.944343363327333
-0.2,800,19,"bcCI","mu",0.9401,0.93522600648526,0.944632367683914
-0.2,800,19,"bcaCI","mu",0.9403,0.935433194277224,0.944825018960558
-0.2,800,19,"propCI","mu",0.9407,0.935847613974296,0.945210277296831
-0.4,100,10,"stdCI","mu",0.9162,0.910556602172551,0.921520816585289
-0.4,100,10,"stuCI","mu",0.9473,0.942694547073855,0.951558009537963
-0.4,100,10,"pctCI","mu",0.9136,0.907881930171866,0.918997543918536
-0.4,100,10,"ctrCI","mu",0.9143,0.908601885046728,0.919677035922611
-0.4,100,10,"bcCI","mu",0.9138,0.908087620494094,0.919191695579181
-0.4,100,10,"bcaCI","mu",0.9115,0.905722708769919,0.916958423678933
-0.4,100,10,"propCI","mu",0.9144,0.908704744627609,0.919774097310386
-0.4,100,5,"stdCI","mu",0.9401,0.93522600648526,0.944632367683914
-0.4,100,5,"stuCI","mu",0.9517,0.947269582639897,0.955779389839834
-0.4,100,5,"pctCI","mu",0.9395,0.934604530513794,0.944054326245218
-0.4,100,5,"ctrCI","mu",0.9349,0.929844063151603,0.939618483983526
-0.4,100,5,"bcCI","mu",0.9379,0.932947890507844,0.942512251706878
-0.4,100,5,"bcaCI","mu",0.9384,0.933465493460884,0.942994247270409
-0.4,100,5,"propCI","mu",0.9389,0.933983184237045,0.943476154811103
-0.4,1600,12,"stdCI","mu",0.9497,0.945188903226844,0.953861701552497
-0.4,1600,12,"stuCI","mu",0.9514,0.946957357299018,0.955491860383371
-0.4,1600,12,"pctCI","mu",0.947,0.94238293313502,0.951269866963641
-0.4,1600,12,"ctrCI","mu",0.9484,0.943837470777787,0.952614192132546
-0.4,1600,12,"bcCI","mu",0.9476,0.943006200381585,0.951846112637627
-0.4,1600,12,"bcaCI","mu",0.948,0.943421799917366,0.952230188144581
-0.4,1600,12,"propCI","mu",0.947,0.94238293313502,0.951269866963641
-0.4,1600,24,"stdCI","mu",0.9423,0.937505891280556,0.946750710695684
-0.4,1600,24,"stuCI","mu",0.9476,0.943006200381585,0.951846112637627
-0.4,1600,24,"pctCI","mu",0.9403,0.935433194277224,0.944825018960558
-0.4,1600,24,"ctrCI","mu",0.941,0.936158467619992,0.945499182084118
-0.4,1600,24,"bcCI","mu",0.9407,0.935847613974296,0.945210277296831
-0.4,1600,24,"bcaCI","mu",0.9405,0.935640396750503,0.945017655521359
-0.4,1600,24,"propCI","mu",0.9409,0.936054846018378,0.945402884216908
-0.4,200,12,"stdCI","mu",0.9308,0.925606866458137,0.935658957377967
-0.4,200,12,"stuCI","mu",0.9484,0.943837470777787,0.952614192132546
-0.4,200,12,"pctCI","mu",0.928,0.922716084645621,0.932951971047997
-0.4,200,12,"ctrCI","mu",0.9276,0.92230329966894,0.932565074503904
-0.4,200,12,"bcCI","mu",0.9261,0.920755753203096,0.931113814512622
-0.4,200,12,"bcaCI","mu",0.926,0.920652605458594,0.931017041785251
-0.4,200,12,"propCI","mu",0.9285,0.923232129543124,0.933435527929089
-0.4,200,6,"stdCI","mu",0.95,0.945500883355465,0.954149476928366
-0.4,200,6,"stuCI","mu",0.9575,0.95331520403999,0.961328999354203
-0.4,200,6,"pctCI","mu",0.9483,0.943733546333433,0.952518197883227
-0.4,200,6,"ctrCI","mu",0.9456,0.940929246178648,0.949924688836119
-0.4,200,6,"bcCI","mu",0.9476,0.943006200381585,0.951846112637627
-0.4,200,6,"bcaCI","mu",0.9476,0.943006200381585,0.951846112637627
-0.4,200,6,"propCI","mu",0.9472,0.942590671402201,0.951461966383575
-0.4,3200,15,"stdCI","mu",0.9544,0.950081663899016,0.958365095596999
-0.4,3200,15,"stuCI","mu",0.9557,0.951437006030371,0.959608683686713
-0.4,3200,15,"pctCI","mu",0.9528,0.948414792997644,0.956833279267286
-0.4,3200,15,"ctrCI","mu",0.9521,0.947685952449688,0.956162692888681
-0.4,3200,15,"bcCI","mu",0.9527,0.948310657700524,0.956737496477709
-0.4,3200,15,"bcaCI","mu",0.9524,0.947998282337788,0.956450117488542
-0.4,3200,15,"propCI","mu",0.9529,0.948518933408392,0.956929056927797
-0.4,3200,30,"stdCI","mu",0.9512,0.946749231624464,0.955300149454445
-0.4,3200,30,"stuCI","mu",0.9536,0.949248060772221,0.957599355623671
-0.4,3200,30,"pctCI","mu",0.9483,0.943733546333433,0.952518197883227
-0.4,3200,30,"ctrCI","mu",0.9502,0.945708893646419,0.954341303573594
-0.4,3200,30,"bcCI","mu",0.9482,0.94362962638341,0.952422199127256
-0.4,3200,30,"bcaCI","mu",0.9486,0.944045333198836,0.952806167061641
-0.4,3200,30,"propCI","mu",0.9491,0.944565068772065,0.953286024643954
