"theta","sigma","n","nm.cov.mu","nm.lower.mu","nm.upper.mu","mv.cov.mu","mv.lower.mu","mv.upper.mu","nm.cov.theta","nm.lower.theta","nm.upper.theta","mv.cov.theta","mv.lower.theta","mv.upper.theta","nm.cov.sigsq","nm.lower.sigsq","nm.upper.sigsq","mv.cov.sigsq","mv.lower.sigsq","mv.upper.sigsq"
0.4,0.1,32,0.83925,0.82786745800931,0.85063254199069,0.83625,0.824782287008961,0.847717712991039,0.675,0.660485179739403,0.689514820260597,0.74675,0.733273396903754,0.760226603096246,0.78425,0.771502625022304,0.796997374977696,0.78,0.76716260994564,0.79283739005436
0.4,0.1,64,0.8805,0.870447670210982,0.890552329789018,0.86975,0.859319522752875,0.880180477247125,0.70425,0.690106923195423,0.718393076804577,0.757,0.743708647627823,0.770291352372177,0.856,0.845119816406948,0.866880183593052,0.857,0.846151329344859,0.867848670655141
0.4,0.1,128,0.902,0.8927862929025,0.9112137070975,0.902,0.8927862929025,0.9112137070975,0.76075,0.747528977354853,0.773971022645147,0.796,0.78351209135664,0.80848790864336,0.89425,0.884720112852119,0.903779887147881,0.89725,0.887840517386226,0.906659482613774
0.4,0.1,256,0.91375,0.905050158463705,0.922449841536295,0.91575,0.907142212960885,0.924357787039115,0.76075,0.747528977354853,0.773971022645147,0.7805,0.76767309697553,0.79332690302447,0.90825,0.899304104204233,0.917195895795767,0.91425,0.905573039024595,0.922926960975405
0.4,0.1,512,0.927,0.918938434397476,0.935061565602524,0.92625,0.918150406593395,0.934349593406605,0.68775,0.673389002109421,0.702110997890579,0.71775,0.703801687421957,0.731698312578043,0.92825,0.920252365970415,0.936247634029585,0.928,0.919989523850552,0.936010476149448
0.4,0.1,1024,0.93425,0.92656935792255,0.94193064207745,0.93575,0.928151382574333,0.943348617425667,0.72225,0.708370017951793,0.736129982048207,0.73925,0.725644142424525,0.752855857575475,0.93725,0.929734589884762,0.944765410115238,0.9385,0.931054861320161,0.945945138679839
0.4,0.1,2048,0.94125,0.933962567830419,0.948537432169581,0.94175,0.934491717378821,0.949008282621179,0.6415,0.626638556124144,0.656361443875856,0.63825,0.623359208695956,0.653140791304044,0.9415,0.934227123874259,0.948772876125741,0.943,0.935815254822349,0.950184745177651
0.4,0.1,4096,0.939,0.931583212963308,0.946416787036691,0.9395,0.932111705897104,0.946888294102896,0.5705,0.555159924262981,0.585840075737019,0.559,0.54361337766907,0.57438662233093,0.946,0.938995767665255,0.953004232334745,0.94925,0.942448159847028,0.956051840152973
0.4,0.1,8192,0.94325,0.936080077931889,0.950419922068112,0.942,0.934756348570516,0.949243651429484,0.50125,0.485755172613949,0.516744827386051,0.50125,0.485755172613949,0.516744827386051,0.94025,0.932904713816749,0.947595286183251,0.94175,0.934491717378821,0.949008282621179
0.2,0.1,4096,0.94425,0.937139763802309,0.951360236197691,0.94725,0.94032273767041,0.954177262329591,0.86525,0.854668352592098,0.875831647407902,0.881,0.870965874461335,0.891034125538665,0.943,0.935815254822349,0.950184745177651,0.942,0.934756348570516,0.949243651429484
