"phi","n","blksize","CI","target","cov","LB","UB"
0.2,100,10,"bcCI","sigma",0.8366,0.829173533307692,0.843766175962028
0.2,100,10,"bcaCI","sigma",0.8441,0.836807118506651,0.851126756063451
0.2,100,10,"propCI","sigma",0.8355,0.828054406144762,0.842686158531278
0.2,100,5,"stdCI","sigma",0.8503,0.8431218890846,0.857207158739292
0.2,100,5,"stuCI","sigma",0.868,0.861173115061509,0.874542133016607
0.2,100,5,"pctCI","sigma",0.8336,0.826121641475563,0.840820400520923
0.2,100,5,"ctrCI","sigma",0.8525,0.845363598914067,0.859363735389346
0.2,100,5,"bcCI","sigma",0.8509,0.843733212381552,0.857795368161919
0.2,100,5,"bcaCI","sigma",0.8627,0.855764082274324,0.869355301412108
0.2,100,5,"propCI","sigma",0.8459,0.838640024425086,0.85289244916394
0.2,1600,12,"stdCI","sigma",0.9325,0.927363118797398,0.937301347718488
0.2,1600,12,"stuCI","sigma",0.9349,0.929844063151603,0.939618483983526
0.2,1600,12,"pctCI","sigma",0.9295,0.924264434205505,0.934402426406959
0.2,1600,12,"ctrCI","sigma",0.9317,0.926536537650403,0.936528567826964
0.2,1600,12,"bcCI","sigma",0.9304,0.925193757204152,0.935272385745771
0.2,1600,12,"bcaCI","sigma",0.9333,0.92818989787668,0.93807392926989
0.2,1600,12,"propCI","sigma",0.9303,0.92509048731535,0.935175735398207
0.2,1600,24,"stdCI","sigma",0.9318,0.926639849579956,0.936625176049125
0.2,1600,24,"stuCI","sigma",0.9368,0.931809468314844,0.94145155647973
0.2,1600,24,"pctCI","sigma",0.9278,0.92250968652242,0.932758528421601
0.2,1600,24,"ctrCI","sigma",0.931,0.925813438987613,0.935852225255715
0.2,1600,24,"bcCI","sigma",0.9283,0.92302570305581,0.933242113721413
0.2,1600,24,"bcaCI","sigma",0.9312,0.926020023515992,0.93604548111042
0.2,1600,24,"propCI","sigma",0.9289,0.923645016829114,0.933822321966605
0.2,200,12,"stdCI","sigma",0.879,0.872410939397907,0.885295714019759
0.2,200,12,"stuCI","sigma",0.9017,0.895658326015954,0.907430527648115
0.2,200,12,"pctCI","sigma",0.8704,0.863623643292634,0.876889730954108
0.2,200,12,"ctrCI","sigma",0.8811,0.874558223600786,0.887346787061682
0.2,200,12,"bcCI","sigma",0.8778,0.871184199936693,0.88412339189802
0.2,200,12,"bcaCI","sigma",0.8894,0.883051480672352,0.89544703009277
0.2,200,12,"propCI","sigma",0.8745,0.867811692581958,0.880898478822911
0.2,200,6,"stdCI","sigma",0.885,0.878547735970527,0.891154221995937
0.2,200,6,"stuCI","sigma",0.8955,0.889300421876828,0.901393303701017
0.2,200,6,"pctCI","sigma",0.8764,0.869753257093432,0.882755429293898
0.2,200,6,"ctrCI","sigma",0.8854,0.878957044577594,0.891544600148482
0.2,200,6,"bcCI","sigma",0.8854,0.878957044577594,0.891544600148482
0.2,200,6,"bcaCI","sigma",0.8938,0.887558295155751,0.899736764761233
0.2,200,6,"propCI","sigma",0.8822,0.875683244448155,0.888420905448452
0.2,3200,15,"stdCI","sigma",0.9379,0.932947890507844,0.942512251706878
0.2,3200,15,"stuCI","sigma",0.9396,0.93470810078712,0.944150675561334
0.2,3200,15,"pctCI","sigma",0.9362,0.931188684255478,0.940872821561354
0.2,3200,15,"ctrCI","sigma",0.9357,0.930671456259703,0.940390450207315
0.2,3200,15,"bcCI","sigma",0.9375,0.932533870714348,0.94212659254598
0.2,3200,15,"bcaCI","sigma",0.9394,0.934500963842999,0.943957973318219
0.2,3200,15,"propCI","sigma",0.9369,0.93191294414381,0.941548000454316
0.2,3200,30,"stdCI","sigma",0.9415,0.936676631778912,0.945980615135252
0.2,3200,30,"stuCI","sigma",0.9439,0.93916515440938,0.948290155866628
0.2,3200,30,"pctCI","sigma",0.9391,0.934190285362793,0.943668892955268
0.2,3200,30,"ctrCI","sigma",0.94,0.935122418073303,0.944536036548708
0.2,3200,30,"bcCI","sigma",0.9392,0.934293841275767,0.943765256664942
0.2,3200,30,"bcaCI","sigma",0.9395,0.934604530513794,0.944054326245218
0.2,3200,30,"propCI","sigma",0.9395,0.934604530513794,0.944054326245218
0.2,400,15,"stdCI","sigma",0.9091,0.90325617754416,0.914626848413486
0.2,400,15,"stuCI","sigma",0.9203,0.914777536433109,0.925496636012276
0.2,400,15,"pctCI","sigma",0.9023,0.896273975762752,0.908014405935016
0.2,400,15,"ctrCI","sigma",0.9084,0.902536997755594,0.913946580138801
0.2,400,15,"bcCI","sigma",0.9081,0.902228808452123,0.913655005941472
0.2,400,15,"bcaCI","sigma",0.9129,0.907162083279775,0.918317943762016
0.2,400,15,"propCI","sigma",0.9062,0.900277363330781,0.911807948278459
0.2,400,8,"stdCI","sigma",0.9069,0.900996232912702,0.912488527212252
0.2,400,8,"stuCI","sigma",0.9125,0.906750790227778,0.917929552711348
0.2,400,8,"pctCI","sigma",0.9024,0.8963765905761,0.90811171245171
0.2,400,8,"ctrCI","sigma",0.9047,0.898737252738155,0.910349240159958
0.2,400,8,"bcCI","sigma",0.9067,0.900790831684642,0.912294086021533
0.2,400,8,"bcaCI","sigma",0.912,0.906236722628533,0.917444015106821
0.2,400,8,"propCI","sigma",0.9059,0.899969306010332,0.911516241906769
0.2,800,10,"stdCI","sigma",0.9267,0.9213746971465,0.931694393292885
0.2,800,10,"stuCI","sigma",0.9305,0.925297030056914,0.935369033123467
0.2,800,10,"pctCI","sigma",0.9231,0.917662485443772,0.928209465973896
0.2,800,10,"ctrCI","sigma",0.9262,0.92085890367605,0.931210584506447
0.2,800,10,"bcCI","sigma",0.9264,0.92106521282771,0.931404116272995
0.2,800,10,"bcaCI","sigma",0.928,0.922716084645621,0.932951971047997
0.2,800,10,"propCI","sigma",0.9252,0.919827521121203,0.930242762166304
0.2,800,19,"stdCI","sigma",0.9243,0.918899506400574,0.929371492058239
0.2,800,19,"stuCI","sigma",0.9313,0.926123320294872,0.936142104513976
0.2,800,19,"pctCI","sigma",0.922,0.916528876555968,0.927143947822564
0.2,800,19,"ctrCI","sigma",0.9226,0.917147170293747,0.927725177992397
0.2,800,19,"bcCI","sigma",0.9239,0.918487124252779,0.928984191934465
0.2,800,19,"bcaCI","sigma",0.9249,0.919518158906995,0.92995236281486
0.2,800,19,"propCI","sigma",0.9225,0.917044114962956,0.927628312683194
