"phi","n","CI","target","cov","LB","UB"
0.2,1600,"bcCI","rho",0.8933,0.872100196549711,0.911411413297164
0.2,1600,"bcaCI","rho",0.8874,0.865771320907675,0.905988399170338
0.2,1600,"propCI","rho",0.9437,0.927085578426915,0.956800764078615
0.2,200,"stdCI","rho",0.9139,0.894348016699875,0.930193641176832
0.2,200,"stuCI","rho",0.9247,0.906123231814359,0.939927624443789
0.2,200,"pctCI","rho",0.9163,0.896957325648182,0.932364277671481
0.2,200,"ctrCI","rho",0.8304,0.80536091335473,0.852856190579096
0.2,200,"bcCI","rho",0.8609,0.837537328716089,0.881436381823097
0.2,200,"bcaCI","rho",0.8518,0.82790503299129,0.872941556414746
0.2,200,"propCI","rho",0.922,0.903171136669325,0.937502561987882
0.2,3200,"stdCI","rho",0.9414,0.924528028520482,0.954778672497063
0.2,3200,"stuCI","rho",0.9426,0.92586162093417,0.95583447731512
0.2,3200,"pctCI","rho",0.9024,0.881897380061248,0.919739579565834
0.2,3200,"ctrCI","rho",0.8917,0.870382170030509,0.909942507331452
0.2,3200,"bcCI","rho",0.8916,0.870274836614368,0.909850656940318
0.2,3200,"bcaCI","rho",0.8887,0.867164340393186,0.907184796697021
0.2,3200,"propCI","rho",0.9404,0.923417970473821,0.953897535846956
0.2,400,"stdCI","rho",0.9213,0.902406718777283,0.936872885349267
0.2,400,"stuCI","rho",0.9288,0.910617559492995,0.943598398784395
0.2,400,"pctCI","rho",0.9124,0.892719208940354,0.928834951317472
0.2,400,"ctrCI","rho",0.8678,0.844861125315499,0.887857144436659
0.2,400,"bcCI","rho",0.8882,0.866628466727386,0.906724741874193
0.2,400,"bcaCI","rho",0.8783,0.856042290966388,0.897591260335593
0.2,400,"propCI","rho",0.9248,0.906232681557895,0.940017326654635
0.2,800,"stdCI","rho",0.9325,0.91468613847701,0.946898080393376
0.2,800,"stuCI","rho",0.936,0.918546751474275,0.950007198335859
0.2,800,"pctCI","rho",0.9137,0.894130754183769,0.930012572052088
0.2,800,"ctrCI","rho",0.8839,0.862024889471796,0.902763277191179
0.2,800,"bcCI","rho",0.8907,0.869309062423335,0.909023774130393
0.2,800,"bcaCI","rho",0.8859,0.864164999706354,0.904606919827557
0.2,800,"propCI","rho",0.9328,0.915016580383205,0.947165053793152
0.4,100,"stdCI","rho",0.8994,0.878662510219498,0.916999124995665
0.4,100,"stuCI","rho",0.9188,0.899679709860221,0.93462093264647
0.4,100,"pctCI","rho",0.8046,0.778356668389251,0.828464783673403
